area_id,area_name,lat,lon,elevation_m,dist_to_river_km,impervious_pct,soil_type,rainfall_mm,rain_1d_lag,rain_3d_sum,rain_7d_sum,rain_7d_max,river_level_m,river_level_lag1,river_level_change_3d,soil_moisture_pct,soil_moisture_3d_avg,base_risk_pct
A023,Shakti Nagar,28.667936,77.229500,116,8.6,83,loam,15.3,10.5,24.0,52.0,20.0,2.94,2.90,0.12,48.0,47.0,10
A024,Karol Bagh,28.633515,77.190415,95,7.2,87,loam,9.2,7.0,30.0,84.0,31.0,3.06,3.00,0.16,56.0,54.0,19
A025,Mehrauli Basin,28.458392,77.166074,87,4.1,65,loam,0.7,1.0,14.0,31.0,12.0,2.63,2.60,0.06,42.0,41.5,18
A026,Malviya Nagar,28.540016,77.167762,57,5.0,79,loam,1.2,2.0,16.0,41.0,18.0,2.95,2.90,0.11,46.0,45.0,16
A027,Chhatarpur Farms,28.413141,77.091185,36,7.9,52,sand,14.8,11.5,23.0,47.0,19.0,2.63,2.60,0.08,49.0,48.0,24
A028,Najafgarh Drain Inflow,28.446287,77.009245,16,6.6,60,clay,12.8,10.0,36.0,77.0,34.0,2.65,2.60,0.14,68.0,65.0,37
A029,Naraina Industrial,28.604915,77.131015,109,0.4,85,clay,6.3,5.0,29.0,82.0,30.0,3.51,3.40,0.28,66.0,63.0,15
A030,Tilak Nagar,28.623429,77.064375,57,12.4,88,loam,4.1,3.0,18.0,60.0,24.0,2.98,2.90,0.15,50.0,49.0,9
A031,Shalimar Bagh,28.690253,77.122559,28,13.5,82,sand,2.6,2.0,13.0,29.0,11.0,2.39,2.35,0.05,37.0,36.5,13
A032,Sarai Kale Khan ISBT,28.497748,77.256021,40,2.2,84,clay,8.9,7.0,21.0,41.0,18.0,3.07,3.00,0.18,54.0,52.0,16
A033,Mahipalpur,28.511138,77.070182,72,8.4,75,loam,8.3,6.5,20.0,51.0,19.0,2.63,2.60,0.09,47.0,46.0,9
A034,Dwarka Sector 21,28.540867,77.017491,25,1.7,78,loam,10.7,9.0,22.0,45.0,18.0,2.73,2.70,0.11,51.0,49.5,14
A035,Sultanpur Metro,28.456841,77.084415,104,10.1,65,loam,9.4,7.2,27.0,73.0,28.0,2.87,2.80,0.14,53.0,51.0,16
A036,Gadaipur Basin,28.438976,77.088078,92,4.3,55,sand,0.3,0.8,17.0,47.0,16.0,2.77,2.75,0.07,43.0,42.0,15
A037,Green Park,28.542711,77.198575,88,9.9,86,loam,2.6,2.0,12.0,27.0,10.0,2.59,2.55,0.06,35.0,34.0,7
A038,Sangam Vihar,28.468073,77.167110,55,10.9,78,sand,10.3,8.0,31.0,78.0,29.0,2.87,2.80,0.15,55.0,53.0,16
A039,India Gate lawns,28.600944,77.235170,77,11.6,60,loam,5.9,4.5,18.0,46.0,17.0,2.81,2.75,0.10,45.0,44.0,12
